DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
68.57,,14778.62,38775.3,84490.94,6000.82,17851.46,328756.78,963.17,,371.24,5710.92,114.69,20.95,37.09,37.51,1967.16,38.16,3.64,451.83,6.65,5.43,
68.37,,15892.58,37426.64,87213.73,33399.54,10151.93,299673.88,1101.38,51.76,244.51,6456.29,70.92,14.03,21.7,41.01,1860.49,48.56,4.41,160.92,12.28,3.31,
68.18,,16304.89,39376.35,89821.02,4893.12,10248.18,314850.81,986.49,,371.54,6033.96,113.25,29.54,27.18,37.24,1979.08,46.82,3.49,490.51,6.28,2.99,
67.98,,20246.72,34769.16,86385.25,4702.29,15793.76,320050.69,1036.59,54.23,399.02,5911.23,105.51,21.49,35.81,32.34,2034.9,39.54,4.76,451.94,7.3,4.04,
67.78,,19262.95,38052.59,93628.03,4248.17,16968.32,319377.31,1155.78,,373.16,5438.5,113.63,22.63,27.14,34.41,2023.09,47.33,4.93,523.1,,3.62,
67.59,,17515.17,61063.39,132301.69,4623.23,15543.59,261380.78,1478.4,56.94,286.88,6098.89,111.05,27.67,33.31,60.19,1597.63,53.83,6.04,397.06,6.64,5.68,
67.39,,18499.84,31439.63,78522.87,3873.82,7407.52,340628.13,851.41,,365.05,4725.47,114.91,21.78,23.75,27.19,2111.05,32.21,3.99,443.68,10.93,3,
67.19,,15355.5,32820.03,77996.45,3678.93,14492.54,341017.66,926.23,,332.26,4569.42,122.16,14.94,17.61,29.25,2089.66,34.53,3.57,408.24,8.55,3.52,
66.99,2.2946,16192.99,34142.75,87047.03,3606.55,16680.56,324282.94,1113.07,,341.36,5078.79,85.31,18.06,24.23,35.49,2049.77,42.66,5.31,459.76,7,4.06,
66.80,,13385.5,31977.1,86663.61,10623,14829.59,306250.5,940.14,85.46,339.16,5873.72,107.88,21.81,26.45,34.04,1989.97,42.57,3.39,496,7.51,4.39,
66.60,,17831.64,33811.04,86194.91,9874.44,15989.9,314462.56,1055.56,,370.85,6142.48,109.23,23.77,25.56,33.49,2130.77,42.91,4.68,473.64,8.47,3.24,
66.40,,15770.65,30263.06,75142.45,8352.5,13051.7,334981,882.96,,325.86,10387.39,110.76,28.66,32.53,26.11,2192.17,42.45,3.33,324.58,6.91,1.75,
66.21,,15112.66,27663.44,66767.98,3699.79,12899.48,355939.41,847.85,,279.68,4726.82,65.58,,17.75,24.46,2272.1,29.45,4.06,227.81,7.23,2.65,
66.01,,19973.63,30177.71,83322.7,4506.98,12668.74,323181.34,933.01,,358.59,6275.71,111.9,19.42,33.71,25.29,2206.75,34.37,3.24,387.32,9.09,3.58,
65.81,,16299.67,23788.27,67312.49,3160.11,5298.47,357308.13,775.87,,347.16,4229.71,103.21,18.64,19.73,21.09,2505.06,29.88,3.04,319.74,,1.71,
65.62,,18291.64,32905.39,90794.89,4778.93,14253.26,302311.06,957.85,,384.21,7274.68,106.49,24.61,32.78,31.7,2004.65,42.49,3.92,454.51,,3.62,
