Citations,Tectonic Setting,Location,Rock Name,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,CAO,MGO,FEO
[16952],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT RITTMANN,COMENDITIC RHYOLITE [16952],VOL,69.93,0.23,14.26,1.7,0.66,0.12,1.5
[16952],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT RITTMANN,COMENDITIC RHYOLITE [16952],VOL,74.82,0.21,11.17,1.49,0.33,0.06,1.79
[16952],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT RITTMANN,COMENDITIC RHYOLITE [16952],VOL,74.88,0.2,11.08,2.32,0.32,0.07,0.9
[21101],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,COMENDITIC RHYOLITE [21101],VOL,69.27,0.5,11.88,6.48,19.0,0.19,0.49
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS,COMENDITIC RHYOLITE [5431],VOL,69.03,0.33,14.64,2.42,0.41,0.32,0.97
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS,COMENDITIC RHYOLITE [5431],VOL,69.65,0.42,14.03,1.2,0.41,0.07,2.09
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS,COMENDITIC RHYOLITE [5431],VOL,70.68,0.28,14.09,0.99,0.33,0.15,1.86
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS,COMENDITIC RHYOLITE [5431],VOL,70.18,0.29,12.52,3.19,0.42,0.13,1.55
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS,COMENDITIC RHYOLITE [5431],VOL,72.43,0.25,10.5,2.0,0.17,0.04,2.58
[1427][798],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / RANO KAU,COMENDITIC RHYOLITE [1427],VOL,72.6,0.2,12.78,0.88,0.69,0.01,2.02
[1427][798],OCEAN ISLAND,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / EASTER ISLAND (RAPA NUI) / RANO KAU,COMENDITIC RHYOLITE [1427],VOL,72.7,0.2,12.87,0.86,0.62,0.0,2.06
[8059][8057][8060],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,75.2,0.17,12.11,0.83,0.44,0.07,1.06
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,74.7,0.15,12.11,0.94,0.65,0.08,1.05
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,75.0,0.23,12.33,2.25,0.17,0.04,0.03
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,74.9,0.15,12.11,0.92,0.48,0.05,1.02
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,76.4,0.16,11.41,1.89,0.36,0.01,0.08
[8059][8060],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,73.7,0.23,10.64,1.93,0.21,0.01,1.62
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,73.8,0.22,10.64,1.72,0.22,0.01,1.81
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / UPPER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,73.5,0.34,10.59,1.67,0.55,0.03,1.93
[8059],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / UPPER COMENDITE MEMBER,COMENDITIC RHYOLITE [8059],VOL,74.5,0.22,10.57,1.64,0.21,0.01,1.98
